layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
2,"[8, 2, 7, 8, 3, 7]","['<=', 79.0382308959961, '<=', 71.94355773925781, '<=', 21.985583305358887, '<=', 59.18950843811035, '<=', 69.35469436645508, '<=', 7.767963171005249]",88,0,14.332247557003258,100,21.728395061728396,35.69979716024341,15.584415584415584,91.66666666666666,22.448979591836736,36.06557377049181,35.882685465367615,correct
2,"[8, 2, 7, 8, 2, 6, 3, 8, 2, 2]","['<=', 79.0382308959961, '<=', 71.94355773925781, '<=', 21.985583305358887, '>', 59.18950843811035, '<=', 58.63844299316406, '<=', 56.786020278930664, '<=', 45.03919792175293, '>', 61.05679702758789, '>', 9.19287633895874, '<=', 29.502633094787598]",30,0,4.88599348534202,100,7.4074074074074066,13.793103448275861,2.5974025974025974,100.0,4.081632653061225,7.843137254901961,10.818120351588911,correct
2,"[8, 2, 7, 8, 2, 6]","['<=', 79.0382308959961, '<=', 71.94355773925781, '<=', 21.985583305358887, '>', 59.18950843811035, '<=', 58.63844299316406, '>', 56.786020278930664]",28,0,4.5602605863192185,100,6.91358024691358,12.933025404157043,5.844155844155844,77.77777777777779,7.142857142857142,13.084112149532709,13.008568776844875,correct
2,"[8, 2, 7, 8, 3, 3, 6]","['<=', 79.0382308959961, '<=', 71.94355773925781, '<=', 21.985583305358887, '<=', 59.18950843811035, '>', 69.35469436645508, '>', 69.45012283325195, '<=', 73.77865982055664]",19,0,3.0944625407166124,100,4.691358024691358,8.962264150943398,2.5974025974025974,75.0,3.061224489795918,5.88235294117647,7.422308546059934,correct
2,"[8, 6, 7, 8, 7, 6, 3]","['>', 79.0382308959961, '<=', 51.79901885986328, '<=', 29.186705589294434, '>', 79.33322143554688, '>', 15.164838314056396, '<=', 37.08982467651367, '>', 1.033750057220459]",16,0,2.6058631921824107,100,3.950617283950617,7.600950118764845,7.792207792207792,58.333333333333336,7.142857142857142,12.727272727272725,10.164111423018785,correct
2,"[8, 2, 7, 8, 3, 3, 6, 6]","['<=', 79.0382308959961, '<=', 71.94355773925781, '<=', 21.985583305358887, '<=', 59.18950843811035, '>', 69.35469436645508, '>', 69.45012283325195, '>', 73.77865982055664, '>', 75.81494140625]",15,0,2.44299674267101,100,3.7037037037037033,7.1428571428571415,1.2987012987012987,100.0,2.0408163265306123,4.0,5.571428571428571,correct
2,"[8, 2, 8, 8, 8, 8, 4, 6, 8, 3]","['<=', 79.0382308959961, '>', 71.94355773925781, '>', 62.03108024597168, '>', 64.10722732543945, '>', 65.18141555786133, '>', 66.43738555908203, '>', 26.000877380371094, '<=', 115.96516036987305, '>', 67.88615036010742, '>', 80.62079238891602]",15,0,2.44299674267101,100,3.7037037037037033,7.1428571428571415,3.2467532467532463,60.0,3.061224489795918,5.825242718446601,6.484049930651871,correct
2,"[8, 2, 8, 4, 4, 6]","['<=', 79.0382308959961, '>', 71.94355773925781, '<=', 62.03108024597168, '<=', 27.953545570373535, '<=', 26.11392307281494, '<=', 88.81941986083984]",13,0,2.1172638436482085,100,3.2098765432098766,6.220095693779904,2.5974025974025974,75.0,3.061224489795918,5.88235294117647,6.051224317478187,correct
2,"[8, 2, 8, 4]","['<=', 79.0382308959961, '>', 71.94355773925781, '<=', 62.03108024597168, '>', 27.953545570373535]",12,0,1.9543973941368076,100,2.9629629629629632,5.755395683453238,1.948051948051948,66.66666666666666,2.0408163265306123,3.9603960396039604,4.857895861528599,correct
2,"[8, 2, 7, 8, 2, 6, 3, 4, 7]","['<=', 79.0382308959961, '<=', 71.94355773925781, '<=', 21.985583305358887, '>', 59.18950843811035, '<=', 58.63844299316406, '<=', 56.786020278930664, '>', 45.03919792175293, '>', 4.752593517303467, '>', 0.2533828914165497]",10,0,1.6286644951140066,100,2.4691358024691357,4.8192771084337345,1.948051948051948,100.0,3.061224489795918,5.94059405940594,5.379935583919837,correct
2,"[8, 2, 7, 8, 2, 6, 3, 8, 2, 2, 7]","['<=', 79.0382308959961, '<=', 71.94355773925781, '<=', 21.985583305358887, '>', 59.18950843811035, '<=', 58.63844299316406, '<=', 56.786020278930664, '<=', 45.03919792175293, '>', 61.05679702758789, '>', 9.19287633895874, '>', 29.502633094787598, '<=', 5.735321283340454]",8,0,1.3029315960912053,100,1.9753086419753085,3.87409200968523,0.0,0.0,0.0,0.0,1.937046004842615,correct
2,"[8, 2, 8, 4, 4, 6, 8]","['<=', 79.0382308959961, '>', 71.94355773925781, '<=', 62.03108024597168, '<=', 27.953545570373535, '<=', 26.11392307281494, '>', 88.81941986083984, '>', 59.68222999572754]",8,0,1.3029315960912053,100,1.9753086419753085,3.87409200968523,1.2987012987012987,50.0,1.0204081632653061,2.0,2.937046004842615,correct
2,"[8, 6, 7, 8, 7, 6, 6, 7]","['>', 79.0382308959961, '<=', 51.79901885986328, '<=', 29.186705589294434, '>', 79.33322143554688, '>', 15.164838314056396, '>', 37.08982467651367, '>', 40.366886138916016, '<=', 24.84547233581543]",8,0,1.3029315960912053,100,1.9753086419753085,3.87409200968523,3.896103896103896,33.33333333333333,2.0408163265306123,3.8461538461538467,3.860122927919538,correct
