layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
3,"[7, 1, 7, 0]","['<=', 50.79589653015137, '>', 20.684733390808105, '>', 35.69412040710449, '>', 13.793028354644775]",80,0,13.029315960912053,100,16.985138004246284,29.038112522686028,11.688311688311687,88.88888888888889,16.842105263157894,28.318584070796458,28.67834829674124,correct
3,"[7, 1, 7, 1, 7, 1, 1]","['<=', 50.79589653015137, '<=', 20.684733390808105, '<=', 39.59981155395508, '>', 10.711513996124268, '<=', 37.72845649719238, '>', 11.293794631958008, '<=', 17.32908535003662]",37,0,6.026058631921824,100,7.855626326963907,14.566929133858268,7.142857142857142,81.81818181818183,9.473684210526317,16.981132075471702,15.774030604664986,correct
3,"[7, 7, 4, 4, 1, 4, 4]","['>', 50.79589653015137, '>', 51.66332244873047, '<=', 21.272018432617188, '>', 10.011056423187256, '>', 24.138876914978027, '<=', 18.15359401702881, '>', 15.730863571166992]",26,0,4.234527687296417,100,5.520169851380043,10.46277665995976,1.948051948051948,66.66666666666666,2.1052631578947367,4.081632653061225,7.2722046565104925,correct
3,"[7, 7, 4, 1, 7, 0]","['>', 50.79589653015137, '>', 51.66332244873047, '>', 21.272018432617188, '>', 26.892504692077637, '<=', 67.68918991088867, '<=', 20.49679183959961]",20,0,3.257328990228013,100,4.246284501061571,8.146639511201629,4.545454545454546,100.0,7.368421052631578,13.72549019607843,10.93606485364003,correct
3,"[7, 7, 4, 1, 7, 7, 4, 0, 7, 1]","['>', 50.79589653015137, '>', 51.66332244873047, '>', 21.272018432617188, '>', 26.892504692077637, '>', 67.68918991088867, '>', 70.53600692749023, '>', 33.89999198913574, '>', 2.6695719957351685, '>', 88.13264846801758, '>', 39.33593940734863]",20,0,3.257328990228013,100,4.246284501061571,8.146639511201629,6.493506493506493,20.0,2.1052631578947367,3.8095238095238093,5.978081660362719,correct
3,"[7, 7, 4, 4, 1, 4, 4, 4, 0, 7]","['>', 50.79589653015137, '>', 51.66332244873047, '<=', 21.272018432617188, '>', 10.011056423187256, '>', 24.138876914978027, '<=', 18.15359401702881, '<=', 15.730863571166992, '<=', 15.61695671081543, '>', 16.81181526184082, '>', 55.324344635009766]",18,0,2.9315960912052117,100,3.821656050955414,7.36196319018405,0.6493506493506493,0.0,0.0,0.0,3.680981595092025,correct
3,"[7, 1, 7, 7, 4, 4, 7]","['<=', 50.79589653015137, '<=', 20.684733390808105, '>', 39.59981155395508, '>', 39.73161506652832, '>', 1.6586298942565918, '<=', 6.6370532512664795, '<=', 44.75781440734863]",14,0,2.2801302931596092,100,2.9723991507431,5.77319587628866,2.5974025974025974,25.0,1.0526315789473684,2.02020202020202,3.89669894824534,correct
3,"[7, 7, 4, 1, 7, 7, 4, 7, 7]","['>', 50.79589653015137, '>', 51.66332244873047, '>', 21.272018432617188, '>', 26.892504692077637, '>', 67.68918991088867, '>', 70.53600692749023, '<=', 33.89999198913574, '<=', 85.4070930480957, '>', 81.51400375366211]",12,0,1.9543973941368076,100,2.547770700636943,4.9689440993788825,3.896103896103896,50.0,3.1578947368421053,5.9405940594059405,5.4547690793924115,correct
3,"[7, 7, 4, 1, 7, 7, 4, 0, 7, 7, 0, 7]","['>', 50.79589653015137, '>', 51.66332244873047, '>', 21.272018432617188, '>', 26.892504692077637, '>', 67.68918991088867, '>', 70.53600692749023, '>', 33.89999198913574, '>', 2.6695719957351685, '<=', 88.13264846801758, '<=', 87.42367553710938, '<=', 20.148853302001953, '<=', 86.14360809326172]",12,0,1.9543973941368076,100,2.547770700636943,4.9689440993788825,0.0,0.0,0.0,0.0,2.4844720496894412,correct
3,"[7, 1, 7, 1, 7, 7, 0]","['<=', 50.79589653015137, '<=', 20.684733390808105, '<=', 39.59981155395508, '>', 10.711513996124268, '>', 37.72845649719238, '>', 38.227182388305664, '>', 10.76801347732544]",11,0,1.7915309446254073,100,2.335456475583864,4.564315352697095,1.948051948051948,66.66666666666666,2.1052631578947367,4.081632653061225,4.32297400287916,correct
