layer,neurons,signature,support,label,train_coverage,train_precision,train_recall,train_f1,test_coverage,test_precision,test_recall,test_f1,f1,kind
2,"[11, 0, 2, 6, 11, 11, 2, 9, 0, 8]","['>', 0.548182487487793, '<=', 0.17855428159236908, '>', 0.48010265827178955, '<=', 0.16832461953163147, '<=', 1.8769651651382446, '>', 0.6219410300254822, '>', 0.504470705986023, '>', 1.0077615976333618, '<=', 0.16873349994421005, '>', 0.062372565269470215]",298,0,25.51369863013699,100,28.24644549763033,44.05025868440502,27.397260273972602,100.0,30.76923076923077,47.05882352941177,45.554541106908395,correct
2,"[11, 3, 6]","['<=', 0.548182487487793, '<=', 0.08223280310630798, '<=', 0.20276587456464767]",294,0,25.17123287671233,100,27.86729857819905,43.587842846553,21.91780821917808,100.0,24.615384615384617,39.50617283950618,41.54700784302959,correct
2,"[11, 3, 6, 6]","['<=', 0.548182487487793, '<=', 0.08223280310630798, '>', 0.20276587456464767, '>', 0.20461367815732956]",52,0,4.4520547945205475,100,4.928909952606635,9.39476061427281,7.534246575342466,100.0,8.461538461538462,15.602836879432624,12.498798746852717,correct
2,"[11, 0, 2, 6, 11, 11, 2, 9, 0, 8, 8]","['>', 0.548182487487793, '<=', 0.17855428159236908, '>', 0.48010265827178955, '<=', 0.16832461953163147, '<=', 1.8769651651382446, '>', 0.6219410300254822, '>', 0.504470705986023, '>', 1.0077615976333618, '<=', 0.16873349994421005, '<=', 0.062372565269470215, '<=', 0.05919332802295685]",49,0,4.195205479452055,100,4.644549763033176,8.876811594202898,4.794520547945205,100.0,5.384615384615385,10.21897810218978,9.54789484819634,correct
2,"[11, 0, 9, 2, 11, 0, 11, 11, 8]","['>', 0.548182487487793, '>', 0.17855428159236908, '<=', 1.2319735884666443, '<=', 0.38243070244789124, '<=', 0.7800204157829285, '<=', 0.6273662745952606, '>', 0.5489032864570618, '<=', 0.6792638301849365, '>', 0.3731301426887512]",44,0,3.767123287671233,100,4.170616113744076,8.007279344858963,4.10958904109589,100.0,4.615384615384616,8.823529411764707,8.415404378311834,correct
2,"[11, 0, 9, 6, 8, 2]","['>', 0.548182487487793, '>', 0.17855428159236908, '>', 1.2319735884666443, '<=', 0.15708382427692413, '<=', 0.6656377017498016, '>', 0.4753754734992981]",42,0,3.595890410958904,100,3.9810426540284363,7.657247037374658,4.10958904109589,100.0,4.615384615384616,8.823529411764707,8.240388224569681,correct
2,"[11, 0, 2, 8, 8, 10, 0, 2]","['>', 0.548182487487793, '<=', 0.17855428159236908, '<=', 0.48010265827178955, '<=', 0.30034632980823517, '<=', 0.2758556604385376, '<=', 0.13277705013751984, '<=', 0.16659177094697952, '>', 0.2577715814113617]",21,0,1.797945205479452,100,1.9905213270142181,3.903345724907063,1.36986301369863,100.0,1.5384615384615385,3.0303030303030307,3.4668243776050467,correct
2,"[11, 0, 9, 2, 9, 2, 2, 9, 11, 0, 9, 11, 0]","['>', 0.548182487487793, '>', 0.17855428159236908, '<=', 1.2319735884666443, '>', 0.38243070244789124, '>', 0.8904051184654236, '>', 0.3943108916282654, '<=', 0.6277428865432739, '<=', 1.230980634689331, '>', 0.7729740142822266, '<=', 0.27702397108078003, '<=', 1.20891934633255, '<=', 0.9068080186843872, '>', 0.2046542912721634]",20,0,1.7123287671232876,100,1.8957345971563981,3.7209302325581395,0.0,0.0,0.0,0.0,1.8604651162790697,correct
2,"[11, 0, 9, 2, 9, 2, 2, 9, 11, 11, 0, 8, 8, 11]","['>', 0.548182487487793, '>', 0.17855428159236908, '<=', 1.2319735884666443, '>', 0.38243070244789124, '>', 0.8904051184654236, '>', 0.3943108916282654, '<=', 0.6277428865432739, '<=', 1.230980634689331, '<=', 0.7729740142822266, '<=', 0.7623571157455444, '>', 0.1837819516658783, '<=', 0.5461335182189941, '>', 0.4622619152069092, '<=', 0.7409615516662598]",18,0,1.5410958904109588,100,1.7061611374407581,3.3550792171481825,0.684931506849315,0.0,0.0,0.0,1.6775396085740912,correct
2,"[11, 0, 2, 8, 9]","['>', 0.548182487487793, '<=', 0.17855428159236908, '<=', 0.48010265827178955, '>', 0.30034632980823517, '>', 0.9838835000991821]",17,0,1.4554794520547945,100,1.6113744075829384,3.171641791044776,1.36986301369863,50.0,0.7692307692307693,1.5151515151515154,2.3433966530981456,correct
2,"[11, 0, 2, 6, 11, 11, 2, 9, 9, 9]","['>', 0.548182487487793, '<=', 0.17855428159236908, '>', 0.48010265827178955, '<=', 0.16832461953163147, '<=', 1.8769651651382446, '>', 0.6219410300254822, '>', 0.504470705986023, '<=', 1.0077615976333618, '<=', 0.9999372065067291, '<=', 0.9888789653778076]",17,0,1.4554794520547945,100,1.6113744075829384,3.171641791044776,2.054794520547945,66.66666666666666,1.5384615384615385,3.0075187969924815,3.0895802940186288,correct
2,"[11, 0, 9, 2, 11, 0, 11, 11, 8, 0, 10]","['>', 0.548182487487793, '>', 0.17855428159236908, '<=', 1.2319735884666443, '<=', 0.38243070244789124, '<=', 0.7800204157829285, '<=', 0.6273662745952606, '>', 0.5489032864570618, '<=', 0.6792638301849365, '<=', 0.3731301426887512, '<=', 0.32947705686092377, '>', 0.016542501747608185]",14,0,1.1986301369863013,100,1.3270142180094786,2.619270346117867,0.684931506849315,100.0,0.7692307692307693,1.5267175572519085,2.0729939516848876,correct
2,"[11, 0, 9, 2, 11, 0, 11, 11, 11, 6, 6]","['>', 0.548182487487793, '>', 0.17855428159236908, '<=', 1.2319735884666443, '<=', 0.38243070244789124, '<=', 0.7800204157829285, '<=', 0.6273662745952606, '>', 0.5489032864570618, '>', 0.6792638301849365, '>', 0.6895405054092407, '>', 0.0013501495122909546, '<=', 0.11799392104148865]",14,0,1.1986301369863013,100,1.3270142180094786,2.619270346117867,0.0,0.0,0.0,0.0,1.3096351730589335,correct
